Genus,Year,Forecast,CI_Lower,CI_Upper
Meloidogyne,2024,34.37118316463602,4.158731998546365,64.58363433072569
Meloidogyne,2025,35.710900413483614,5.498449247393957,65.92335157957328
Meloidogyne,2026,37.078380009646935,6.865928843557278,67.2908311757366
Meloidogyne,2027,38.47362195314781,8.261170787058155,68.68607311923748
Meloidogyne,2028,39.896626243971696,9.684175077882038,70.10907741006136
Meloidogyne,2029,41.347392882118584,11.134941716028926,71.55984404820825
Meloidogyne,2030,42.82592186760303,12.613470701513371,73.0383730336927
Meloidogyne,2031,44.3322132004032,14.119762034313545,74.54466436649287
Meloidogyne,2032,45.866266880540934,15.653815714451277,76.0787180466306
Meloidogyne,2033,47.42808290800167,17.215631741912013,77.64053407409133
Meloidogyne,2034,49.01766128279269,18.80521011670303,79.23011244888235
Meloidogyne,2035,50.63500200490671,20.422550838817052,80.84745317099637
Meloidogyne,2036,52.28010507435101,22.067653908261356,82.49255624044068
Meloidogyne,2037,53.95297049111832,23.740519325028664,84.16542165720799
Meloidogyne,2038,55.65359825522319,25.44114708913353,85.86604942131285
Meloidogyne,2039,57.38198836664378,27.169537200554124,87.59443953273345
Meloidogyne,2040,59.13814082539466,28.925689659305,89.35059199148432
Meloidogyne,2041,60.92205563148309,30.709604465393433,91.13450679757275
Meloidogyne,2042,62.733732784879976,32.52128161879032,92.94618395096964
Meloidogyne,2043,64.5731722856217,34.36072111953204,94.78562345171136
Xiphinema,2024,15.324213693578713,2.806921694005055,27.84150569315237
Xiphinema,2025,15.730390461943898,3.2130984623702403,28.247682461517556
Xiphinema,2026,16.14257894484399,3.6252869452703322,28.659870944417648
Xiphinema,2027,16.56077914227717,4.043487142703512,29.078071141850828
Xiphinema,2028,16.984991054245256,4.4676990546715984,29.502283053818914
Xiphinema,2029,17.41521468074643,4.897922681172773,29.93250668032009
Xiphinema,2030,17.85145002178251,5.334158022208854,30.36874202135617
Xiphinema,2031,18.29369707735168,5.776405077778023,30.81098907692534
Xiphinema,2032,18.741955847455756,6.224663847882098,31.259247847029414
Xiphinema,2033,19.19622633209292,6.678934332519262,31.713518331666577
Xiphinema,2034,19.65650853126499,7.139216531691332,32.17380053083865
Xiphinema,2035,20.122802444971967,7.605510445398309,32.640094444545625
Xiphinema,2036,20.59510807321203,8.077816073638374,33.11240007278569
Xiphinema,2037,21.073425415987003,8.556133416413346,33.59071741556066
Xiphinema,2038,21.557754473295063,9.040462473721405,34.07504647286872
Xiphinema,2039,22.04809524513803,9.530803245564371,34.56538724471169
Xiphinema,2040,22.544447731514083,10.027155731940425,35.06173973108774
Xiphinema,2041,23.046811932426863,10.529519932853205,35.56410393200052
Xiphinema,2042,23.55518784787273,11.037895848299073,36.07247984744639
Xiphinema,2043,24.069575477851686,11.552283478278028,36.58686747742534
Pratylenchus,2024,13.265458443114767,0.4735340515095938,26.057382834719938
Pratylenchus,2025,13.55104730997482,0.7591229183696466,26.34297170157999
Pratylenchus,2026,13.839068743798634,1.0471443521934614,26.630993135403806
Pratylenchus,2027,14.129522744586211,1.337598352981038,26.921447136191382
Pratylenchus,2028,14.42240931233573,1.6304849207305576,27.214333703940902
Pratylenchus,2029,14.717728447050831,1.9258040554456581,27.509652838656002
Pratylenchus,2030,15.015480148728784,2.223555757123611,27.807404540333955
Pratylenchus,2031,15.315664417371408,2.5237400257662355,28.10758880897658
Pratylenchus,2032,15.618281252976885,2.8263568613717123,28.410205644582057
Pratylenchus,2033,15.923330655547034,3.1314062639418605,28.715255047152205
Pratylenchus,2034,16.230812625080034,3.438888233474861,29.022737016685205
Pratylenchus,2035,16.540727161576797,3.7488027699716238,29.332651553181968
Pratylenchus,2036,16.85307426503732,4.061149873432148,29.644998656642493
Pratylenchus,2037,17.167853935461608,4.375929543856435,29.95977832706678
Pratylenchus,2038,17.485066172849656,4.693141781244483,30.276990564454827
Pratylenchus,2039,17.804710977201466,5.012786585596293,30.596635368806638
Pratylenchus,2040,18.12678834851704,5.334863956911866,30.91871274012221
Pratylenchus,2041,18.451298286796373,5.6593738951912,31.243222678401544
Pratylenchus,2042,18.77824079203856,5.986316400433386,31.57016518364373
Pratylenchus,2043,19.107615864245417,6.315691472640244,31.89954025585059
Heterodera,2024,11.50879463965066,1.699106948570071,21.31848233073125
Heterodera,2025,11.869806257434902,2.060118566354314,21.679493948515493
Heterodera,2026,12.23741664217232,2.4277289510917317,22.04710433325291
Heterodera,2027,12.611625793859275,2.8019381027786867,22.421313484939866
Heterodera,2028,12.992433712499405,3.182746021418817,22.802121403579996
Heterodera,2029,13.379840398090892,3.570152707010303,23.189528089171482
Heterodera,2030,13.773845850631915,3.964158159551326,23.583533541712505
Heterodera,2031,14.174450070124294,4.364762379043706,23.984137761204884
Heterodera,2032,14.581653056569849,4.77196536548926,24.39134074765044
Heterodera,2033,14.99545480996494,5.1857671188843515,24.80514250104553
Heterodera,2034,15.415855330313207,5.606167639232618,25.225543021393797
Heterodera,2035,15.84285461761101,6.033166926530422,25.6525423086916
Heterodera,2036,16.27645267186199,6.4667649807814005,26.08614036294258
Heterodera,2037,16.716649493062505,6.906961801981916,26.526337184143095
Heterodera,2038,17.163445081216196,7.353757390135607,26.973132772296786
Heterodera,2039,17.616839436319424,7.807151745238835,27.426527127400014
Heterodera,2040,18.076832558374008,8.26714486729342,27.8865202494546
Heterodera,2041,18.543424447381767,8.733736756301179,28.353112138462357
Heterodera,2042,19.016615103339063,9.206927412258475,28.826302794419654
Heterodera,2043,19.496404526247716,9.686716835167127,29.306092217328306
