Decade,Aphelenchoides,Bursaphelenchus,Heterodera,Longidorus,Meloidogyne,Pratylenchus,Rotylenchus,Xiphinema
1960,3.0,0.0,5.0,1.0,16.0,7.0,2.0,6.0
1970,8.0,0.0,16.0,9.0,16.0,12.0,7.0,17.0
1980,4.0,4.0,20.0,3.0,30.0,20.0,11.0,26.0
1990,3.0,4.0,27.0,28.0,48.0,25.0,4.0,47.0
2000,5.0,30.0,38.0,36.0,110.0,66.0,30.0,58.0
2010,65.0,65.0,69.0,67.0,253.0,122.0,66.0,167.0
2020,23.0,37.0,53.0,21.0,147.0,53.0,15.0,33.0
