,Value
Total_Records_Analyzed,3022.0
Time_Span_Years,63.0
Average_Annual_Records,47.96825396825397
Peak_Year,2020.0
Peak_Year_Count,308.0
Genera_Forecasted,10.0
Species_Forecasted,400.0
Forecast_Horizon_Years,20.0
