Decade,aphelenchoides,bursaphelenchus,ditylenchus,globodera,heterodera,meloidogyne,pratylenchus,xiphinema
1960,15.0,1.0,37.0,0.0,52.0,47.0,31.0,16.0
1970,24.0,1.0,69.0,34.0,134.0,215.0,93.0,34.0
1980,22.0,85.0,50.0,183.0,300.0,308.0,99.0,36.0
1990,17.0,90.0,65.0,234.0,445.0,499.0,188.0,38.0
2000,64.0,313.0,49.0,310.0,637.0,1106.0,319.0,77.0
2010,154.0,603.0,125.0,449.0,897.0,2148.0,459.0,105.0
2020,154.0,389.0,109.0,213.0,492.0,1570.0,294.0,53.0
