Genus,Year,Forecasted_Count,Model,RMSE
Meloidogyne,2024,52.742766532552196,Polynomial (degree=2),25.727777007987015
Meloidogyne,2025,54.82054445259564,Polynomial (degree=2),25.727777007987015
Meloidogyne,2026,56.940762981568696,Polynomial (degree=2),25.727777007987015
Meloidogyne,2027,59.10342211948591,Polynomial (degree=2),25.727777007987015
Meloidogyne,2028,61.30852186634729,Polynomial (degree=2),25.727777007987015
Meloidogyne,2029,63.55606222213828,Polynomial (degree=2),25.727777007987015
Meloidogyne,2030,65.84604318687343,Polynomial (degree=2),25.727777007987015
Meloidogyne,2031,68.17846476055274,Polynomial (degree=2),25.727777007987015
Meloidogyne,2032,70.55332694317622,Polynomial (degree=2),25.727777007987015
Meloidogyne,2033,72.97062973474385,Polynomial (degree=2),25.727777007987015
Meloidogyne,2034,75.4303731352411,Polynomial (degree=2),25.727777007987015
Meloidogyne,2035,77.9325571446825,Polynomial (degree=2),25.727777007987015
Meloidogyne,2036,80.47718176306807,Polynomial (degree=2),25.727777007987015
Meloidogyne,2037,83.06424699038325,Polynomial (degree=2),25.727777007987015
Meloidogyne,2038,85.6937528266426,Polynomial (degree=2),25.727777007987015
Meloidogyne,2039,88.36569927186065,Polynomial (degree=2),25.727777007987015
Meloidogyne,2040,91.08008632599376,Polynomial (degree=2),25.727777007987015
Meloidogyne,2041,93.83691398908559,Polynomial (degree=2),25.727777007987015
Meloidogyne,2042,96.63618226110702,Polynomial (degree=2),25.727777007987015
Meloidogyne,2043,99.47789114207262,Polynomial (degree=2),25.727777007987015
Pratylenchus,2024,0.0,Moving Average,10.13903348450926
Pratylenchus,2025,0.0,Moving Average,10.13903348450926
Pratylenchus,2026,0.0,Moving Average,10.13903348450926
Pratylenchus,2027,0.0,Moving Average,10.13903348450926
Pratylenchus,2028,0.0,Moving Average,10.13903348450926
Pratylenchus,2029,0.0,Moving Average,10.13903348450926
Pratylenchus,2030,0.0,Moving Average,10.13903348450926
Pratylenchus,2031,0.0,Moving Average,10.13903348450926
Pratylenchus,2032,0.0,Moving Average,10.13903348450926
Pratylenchus,2033,0.0,Moving Average,10.13903348450926
Pratylenchus,2034,0.0,Moving Average,10.13903348450926
Pratylenchus,2035,0.0,Moving Average,10.13903348450926
Pratylenchus,2036,0.0,Moving Average,10.13903348450926
Pratylenchus,2037,0.0,Moving Average,10.13903348450926
Pratylenchus,2038,0.0,Moving Average,10.13903348450926
Pratylenchus,2039,0.0,Moving Average,10.13903348450926
Pratylenchus,2040,0.0,Moving Average,10.13903348450926
Pratylenchus,2041,0.0,Moving Average,10.13903348450926
Pratylenchus,2042,0.0,Moving Average,10.13903348450926
Pratylenchus,2043,0.0,Moving Average,10.13903348450926
Xiphinema,2024,0.0,Moving Average,8.357032966310472
Xiphinema,2025,0.0,Moving Average,8.357032966310472
Xiphinema,2026,0.0,Moving Average,8.357032966310472
Xiphinema,2027,0.0,Moving Average,8.357032966310472
Xiphinema,2028,0.0,Moving Average,8.357032966310472
Xiphinema,2029,0.0,Moving Average,8.357032966310472
Xiphinema,2030,0.0,Moving Average,8.357032966310472
Xiphinema,2031,0.0,Moving Average,8.357032966310472
Xiphinema,2032,0.0,Moving Average,8.357032966310472
Xiphinema,2033,0.0,Moving Average,8.357032966310472
Xiphinema,2034,0.0,Moving Average,8.357032966310472
Xiphinema,2035,0.0,Moving Average,8.357032966310472
Xiphinema,2036,0.0,Moving Average,8.357032966310472
Xiphinema,2037,0.0,Moving Average,8.357032966310472
Xiphinema,2038,0.0,Moving Average,8.357032966310472
Xiphinema,2039,0.0,Moving Average,8.357032966310472
Xiphinema,2040,0.0,Moving Average,8.357032966310472
Xiphinema,2041,0.0,Moving Average,8.357032966310472
Xiphinema,2042,0.0,Moving Average,8.357032966310472
Xiphinema,2043,0.0,Moving Average,8.357032966310472
Heterodera,2023,13.635064371503177,Polynomial (degree=2),7.432662222065116
Heterodera,2024,14.031151297371252,Polynomial (degree=2),7.432662222065116
Heterodera,2025,14.43377151428831,Polynomial (degree=2),7.432662222065116
Heterodera,2026,14.842925022263444,Polynomial (degree=2),7.432662222065116
Heterodera,2027,15.258611821287559,Polynomial (degree=2),7.432662222065116
Heterodera,2028,15.68083191136975,Polynomial (degree=2),7.432662222065116
Heterodera,2029,16.109585292502743,Polynomial (degree=2),7.432662222065116
Heterodera,2030,16.544871964691993,Polynomial (degree=2),7.432662222065116
Heterodera,2031,16.986691927930224,Polynomial (degree=2),7.432662222065116
Heterodera,2032,17.435045182224712,Polynomial (degree=2),7.432662222065116
Heterodera,2033,17.88993172757364,Polynomial (degree=2),7.432662222065116
Heterodera,2034,18.351351563975186,Polynomial (degree=2),7.432662222065116
Heterodera,2035,18.81930469143299,Polynomial (degree=2),7.432662222065116
Heterodera,2036,19.293791109941594,Polynomial (degree=2),7.432662222065116
Heterodera,2037,19.774810819506456,Polynomial (degree=2),7.432662222065116
Heterodera,2038,20.2623638201203,Polynomial (degree=2),7.432662222065116
Heterodera,2039,20.756450111794038,Polynomial (degree=2),7.432662222065116
Heterodera,2040,21.25706969451676,Polynomial (degree=2),7.432662222065116
Heterodera,2041,21.764222568295736,Polynomial (degree=2),7.432662222065116
Heterodera,2042,22.277908733125514,Polynomial (degree=2),7.432662222065116
Bursaphelenchus,2024,13.967234454466052,Polynomial (degree=2),8.943663885851842
Bursaphelenchus,2025,14.25566086055369,Polynomial (degree=2),8.943663885851842
Bursaphelenchus,2026,14.542317102568632,Polynomial (degree=2),8.943663885851842
