Country,N_Genera,N_Species,N_Publications,Mean_Citations,Total_Citations,Citations_Per_Paper
Cameroon; France; Cameroon,1,1,1,20.0,20,20.0
Cameroon; Germany; Germany,1,1,1,2.0,2,2.0
Cameroon; Ghana,1,1,1,5.0,5,5.0
Cameroon; United Kingdom; United Kingdom,1,1,1,45.0,45,45.0
Canada,11,20,87,13.367816091954023,1163,13.367816091954023
Canada; Benin; Belgium,1,1,1,2.0,2,2.0
Canada; Brazil; Brazil,2,2,2,12.5,25,12.5
Canada; Brazil; United States; China; Indonesia; India,1,1,2,219.0,438,219.0
Canada; Canada,7,11,29,14.620689655172415,424,14.620689655172415
Canada; Canada; Canada,4,4,6,12.666666666666666,76,12.666666666666666
Canada; Canada; Canada; Canada,1,1,2,0.0,0,0.0
Canada; Canada; Canada; Canada; Canada,1,1,1,0.0,0,0.0
Canada; Canada; Canada; United States; Canada; Croatia; United States; United States,1,1,1,0.0,0,0.0
Canada; Canada; France,1,1,1,48.0,48,48.0
Canada; Canada; United States,1,1,2,14.0,28,14.0
Canada; China,4,5,7,11.857142857142858,83,11.857142857142858
Canada; China; China; China,1,1,2,1.0,2,1.0
Canada; China; China; China; United States; China; China,1,1,2,17.0,34,17.0
Canada; Germany,1,1,2,6.0,12,6.0
Canada; India,1,1,1,28.0,28,28.0
Canada; Spain; Italy,1,1,2,11.0,22,11.0
Canada; United Kingdom; Canada,1,1,2,9.0,18,9.0
Canada; United Kingdom; Spain; Canada; Canada,1,1,2,21.0,42,21.0
Canada; United Kingdom; United Kingdom; United States,1,1,2,12.0,24,12.0
Canada; United States,6,9,12,15.333333333333334,184,15.333333333333334
Canada; United States; Canada,2,2,3,8.0,24,8.0
Canada; United States; Canada; Saudi Arabia; United States,1,1,1,30.0,30,30.0
Canada; United States; Russia,1,1,2,15.0,30,15.0
Canada; United States; United States,2,2,2,14.5,29,14.5
Canada; United States; United States; Iran; United States; Argentina; New Zealand; Australia; Uruguay; Netherlands; Australia; United States; United States; Australia,1,1,1,23.0,23,23.0
Chile,3,3,5,7.8,39,7.8
Chile; Chile,2,3,3,11.666666666666666,35,11.666666666666666
Chile; Chile; Brazil,1,1,1,36.0,36,36.0
Chile; Chile; Chile; Ecuador,1,1,1,11.0,11,11.0
Chile; Spain; Spain,1,1,1,0.0,0,0.0
Chile; Sweden,1,1,2,12.0,24,12.0
Chile; United States; United States,1,1,3,9.0,27,9.0
China,15,37,635,12.806299212598425,8132,12.806299212598425
China; Australia,1,1,1,10.0,10,10.0
China; Australia; Australia,1,1,2,101.0,202,101.0
China; Australia; China,3,3,4,2.0,8,2.0
China; Belgium,2,2,2,15.5,31,15.5
China; Belgium; Belgium,1,1,1,11.0,11,11.0
China; Belgium; China,1,1,1,48.0,48,48.0
China; Belgium; Japan; United Kingdom,1,1,1,45.0,45,45.0
China; Bulgaria,1,1,1,5.0,5,5.0
China; Bulgaria; United States,1,1,1,1.0,1,1.0
China; Canada,1,1,2,14.5,29,14.5
China; Canada; China; China; China; China,1,1,1,1.0,1,1.0
China; China,14,32,377,12.52785145888594,4723,12.52785145888594
China; China; Australia,1,1,2,3.0,6,3.0
China; China; Bangladesh,1,1,1,6.0,6,6.0
China; China; Canada,1,1,1,29.0,29,29.0
China; China; China,10,18,120,12.825,1539,12.825
China; China; China; China,9,15,43,14.44186046511628,621,14.44186046511628
China; China; China; China; China,2,2,3,7.0,21,7.0
China; China; China; China; China; China,3,3,4,4.0,16,4.0
China; China; China; China; United States,1,1,2,2.0,4,2.0
China; China; China; Netherlands,1,1,2,26.0,52,26.0
China; China; China; New Zealand; United States,1,1,1,6.0,6,6.0
China; China; China; Nigeria,1,1,2,2.0,4,2.0
China; China; China; Pakistan; China,1,1,1,0.0,0,0.0
China; China; China; Singapore,1,1,1,27.0,27,27.0
China; China; China; South Korea,1,1,1,2.0,2,2.0
China; China; China; United States,3,3,4,7.5,30,7.5
China; China; China; United States; China,1,1,1,23.0,23,23.0
China; China; France; China,1,1,1,14.0,14,14.0
China; China; Japan,1,1,1,0.0,0,0.0
China; China; Netherlands,1,1,1,3.0,3,3.0
China; China; Netherlands; China; United States,1,1,1,37.0,37,37.0
China; China; Norway; United States,1,1,1,34.0,34,34.0
China; China; Pakistan,1,2,5,12.6,63,12.6
China; China; Pakistan; China,1,1,1,2.0,2,2.0
China; China; Poland,1,1,1,8.0,8,8.0
China; China; Portugal,1,1,1,19.0,19,19.0
China; China; Singapore,1,1,1,39.0,39,39.0
China; China; United States,4,4,9,16.0,144,16.0
China; China; United States; China,2,2,3,27.0,81,27.0
China; China; United States; China; China,1,1,1,2.0,2,2.0
China; China; United States; China; China; China,1,1,2,59.0,118,59.0
China; Egypt,1,1,1,40.0,40,40.0
China; Egypt; China,1,1,2,2.0,4,2.0
China; Egypt; Egypt; Egypt; Saudi Arabia,1,1,1,1.0,1,1.0
China; Egypt; Pakistan; China,1,1,1,6.0,6,6.0
China; Egypt; Saudi Arabia; India; India,1,1,1,1.0,1,1.0
China; Ethiopia; China,1,1,2,1.0,2,1.0
China; France; Japan,1,1,1,15.0,15,15.0
China; Germany,3,3,4,14.25,57,14.25
China; Germany; China,1,1,1,6.0,6,6.0
China; India,1,1,1,4.0,4,4.0
China; India; United States,1,1,1,33.0,33,33.0
China; Iran,1,1,2,1.0,2,1.0
China; Israel,1,1,1,14.0,14,14.0
China; Japan; France,1,1,2,22.0,44,22.0
China; Malawi; India; Saudi Arabia; Saudi Arabia,1,1,1,0.0,0,0.0
China; Netherlands,1,1,2,29.0,58,29.0
China; New Zealand; New Zealand,1,1,1,3.0,3,3.0
China; Nigeria,1,1,1,2.0,2,2.0
China; Nigeria; China,1,1,1,1.0,1,1.0
China; Norway,1,1,1,3.0,3,3.0
China; Pakistan,1,1,2,23.0,46,23.0
China; Pakistan; China,3,3,4,48.75,195,48.75
China; Pakistan; China; China,1,1,2,7.5,15,7.5
China; Pakistan; South Korea,1,1,1,39.0,39,39.0
China; Portugal,1,1,1,11.0,11,11.0
China; Portugal; Germany,1,1,1,11.0,11,11.0
China; Russia; China; United States,1,1,1,4.0,4,4.0
China; Singapore,1,1,1,14.0,14,14.0
China; South Africa; China; China; China,1,1,1,41.0,41,41.0
China; South Korea,1,1,5,11.2,56,11.2
China; South Korea; China,1,1,1,11.0,11,11.0
China; South Korea; China; China; China,1,1,1,7.0,7,7.0
China; South Korea; South Korea; South Korea,1,1,1,1.0,1,1.0
China; South Korea; United States; South Korea,1,1,1,65.0,65,65.0
China; Spain,1,1,1,5.0,5,5.0
China; Spain; Canada,1,1,2,0.0,0,0.0
China; Spain; Switzerland; South Africa; Switzerland; Italy; China,1,1,1,3.0,3,3.0
China; Sweden,1,1,1,1.0,1,1.0
China; Taiwan; Taiwan,1,1,1,26.0,26,26.0
China; Turkey; China,1,1,1,8.0,8,8.0
China; United Kingdom,1,1,1,10.0,10,10.0
China; United Kingdom; China,1,1,2,58.0,116,58.0
China; United Kingdom; Japan; United States; United States,1,1,1,50.0,50,50.0
China; United Kingdom; United States; United Kingdom,1,1,1,1.0,1,1.0
China; United States,6,8,34,22.323529411764707,759,22.323529411764707
China; United States; Canada,1,1,1,16.0,16,16.0
China; United States; China,5,5,12,10.333333333333334,124,10.333333333333334
China; United States; China; China,4,6,7,25.571428571428573,179,25.571428571428573
China; United States; China; South Korea,1,1,2,12.0,24,12.0
China; United States; China; Sweden,1,1,1,16.0,16,16.0
China; United States; China; United States; United States,1,1,1,7.0,7,7.0
China; United States; Japan; China,1,1,2,2.0,4,2.0
China; United States; New Zealand,1,1,1,7.0,7,7.0
China; United States; United States,4,5,8,14.75,118,14.75
China; United States; United States; United States,1,1,2,12.0,24,12.0
China; United States; United States; United States; United States,1,1,1,30.0,30,30.0
Colombia,3,3,4,1.0,4,1.0
Colombia; Colombia,2,2,2,1.5,3,1.5
Colombia; Colombia; Colombia,2,2,4,2.75,11,2.75
Colombia; Colombia; Colombia; Brazil,2,2,2,2.0,4,2.0
Colombia; Costa Rica; Spain,1,1,1,0.0,0,0.0
Colombia; United States,2,2,2,8.5,17,8.5
Colombia; United States; Japan,1,1,1,9.0,9,9.0
Colombia; United States; United States; Israel; Brazil,1,1,2,12.0,24,12.0
Costa Rica,4,7,12,3.4166666666666665,41,3.4166666666666665
Costa Rica; Australia; Germany,1,1,1,5.0,5,5.0
Costa Rica; Costa Rica,1,1,4,0.25,1,0.25
Costa Rica; France,2,2,2,10.5,21,10.5
Costa Rica; Germany; Costa Rica,1,1,2,15.0,30,15.0
Costa Rica; Spain,1,1,1,5.0,5,5.0
Costa Rica; Tanzania,1,1,1,7.0,7,7.0
Costa Rica; United States,2,2,4,17.75,71,17.75
Costa Rica; United States; United States,1,1,2,0.0,0,0.0
Costa Rica; United States; United States; United States; United States; United States; United States; United States; United States; United States; United States; United States; United States; United States; United States; United States; United States; United States; United States; United States; United States; United States; United States; United States; United States; United States; United States; United States; United States,1,1,1,289.0,289,289.0
Croatia,1,3,4,24.75,99,24.75
Croatia; Austria,1,1,1,6.0,6,6.0
Croatia; Croatia,1,1,2,0.0,0,0.0
Croatia; France; France,1,1,1,0.0,0,0.0
Croatia; Slovenia,1,2,2,2.5,5,2.5
Cuba,1,1,1,12.0,12,12.0
Cuba; Cuba,1,1,1,37.0,37,37.0
Cuba; Cuba; Mexico; Mexico,1,1,1,1.0,1,1.0
Cuba; France; France; France,1,1,1,3.0,3,3.0
Cuba; Italy; Cuba,1,1,2,0.0,0,0.0
Cuba; Mexico; Germany,1,1,1,5.0,5,5.0
Cyprus,1,1,2,16.0,32,16.0
Cyprus; Cyprus,1,1,2,7.0,14,7.0
Cyprus; Greece; Greece; Greece,1,1,1,9.0,9,9.0
Czechia,6,8,9,9.666666666666666,87,9.666666666666666
Czechia; Austria,1,1,1,13.0,13,13.0
Czechia; Belgium; Belgium,2,2,2,3.5,7,3.5
Czechia; Belgium; Belgium; Italy,1,1,1,6.0,6,6.0
Czechia; Belgium; Czechia,1,1,1,5.0,5,5.0
Czechia; Brazil; Bulgaria,1,1,1,12.0,12,12.0
Czechia; Bulgaria,1,1,1,20.0,20,20.0
Czechia; Czechia,4,4,9,6.222222222222222,56,6.222222222222222
Czechia; Czechia; Czechia,3,3,3,7.333333333333333,22,7.333333333333333
Czechia; Czechia; Czechia; United Kingdom,1,1,2,37.0,74,37.0
Czechia; Hungary; United States; Japan; United Kingdom; Japan; United States; Japan; Japan,1,1,1,9.0,9,9.0
Czechia; Italy,2,2,3,3.0,9,3.0
Czechia; Japan; Poland; Germany; United States; Germany,1,1,1,105.0,105,105.0
Czechia; Portugal; Czechia; Czechia; Czechia,1,1,1,21.0,21,21.0
Czechia; Slovakia,1,1,1,3.0,3,3.0
Czechia; Slovakia; Czechia,1,1,1,3.0,3,3.0
Czechia; United Kingdom,1,1,1,53.0,53,53.0
Denmark,3,3,3,21.666666666666668,65,21.666666666666668
Denmark; Bangladesh; Belgium,1,1,1,3.0,3,3.0
Denmark; Denmark; Germany,1,1,1,140.0,140,140.0
Denmark; Netherlands,1,1,2,22.0,44,22.0
Denmark; Portugal,1,1,1,102.0,102,102.0
Denmark; United States; United States,1,1,2,58.0,116,58.0
Ecuador,4,4,6,2.0,12,2.0
Ecuador; United States,1,1,1,0.0,0,0.0
Egypt,11,20,233,6.381974248927039,1487,6.381974248927039
Egypt; China,1,1,4,15.5,62,15.5
Egypt; China; China,1,1,2,10.0,20,10.0
Egypt; China; Pakistan; China,1,1,1,35.0,35,35.0
Egypt; Egypt,8,10,92,4.717391304347826,434,4.717391304347826
Egypt; Egypt; China,1,1,2,2.0,4,2.0
Egypt; Egypt; Egypt,2,3,3,7.333333333333333,22,7.333333333333333
Egypt; Egypt; Egypt; Egypt,1,1,1,23.0,23,23.0
Egypt; Egypt; Egypt; Egypt; Egypt; Japan,1,1,1,25.0,25,25.0
Egypt; Egypt; Egypt; Saudi Arabia,1,1,2,69.0,138,69.0
Egypt; Egypt; Egypt; United States,1,1,1,2.0,2,2.0
Egypt; Egypt; India; Egypt; Saudi Arabia,1,1,1,23.0,23,23.0
Egypt; Egypt; Saudi Arabia,3,3,5,4.2,21,4.2
Egypt; Egypt; Saudi Arabia; Egypt,1,1,1,10.0,10,10.0
Egypt; Egypt; Saudi Arabia; Egypt; Egypt,1,1,2,32.0,64,32.0
Egypt; France,1,1,1,0.0,0,0.0
Egypt; Germany,3,3,4,13.25,53,13.25
Egypt; Germany; China,1,1,2,34.0,68,34.0
Egypt; Germany; Slovenia; Germany,1,1,1,38.0,38,38.0
Egypt; Saudi Arabia,1,1,2,12.5,25,12.5
Egypt; Saudi Arabia; Egypt,1,1,1,6.0,6,6.0
Egypt; Saudi Arabia; Egypt; India; India; Malaysia,1,1,2,20.0,40,20.0
Egypt; Saudi Arabia; United Arab Emirates; India,1,1,1,2.0,2,2.0
Egypt; South Korea; Saudi Arabia,1,1,1,8.0,8,8.0
Egypt; Switzerland; Spain; Switzerland; Switzerland; Austria,1,1,1,11.0,11,11.0
Egypt; United States,2,2,2,27.0,54,27.0
Egypt; United States; United States; United States,1,1,2,40.0,80,40.0
Estonia,1,1,1,5.0,5,5.0
Estonia; Australia; Russia,1,1,1,58.0,58,58.0
Ethiopia,3,4,10,15.7,157,15.7
Ethiopia; Ethiopia,1,2,5,1.6,8,1.6
Ethiopia; Ethiopia; United States; Ethiopia,1,1,1,2.0,2,2.0
Fiji; Australia,1,1,3,2.0,6,2.0
Finland,5,6,11,14.545454545454545,160,14.545454545454545
Finland; China,1,1,2,12.5,25,12.5
Finland; Finland,3,3,4,5.25,21,5.25
Finland; Sweden; Germany,1,1,2,139.0,278,139.0
Finland; Sweden; United States,1,1,1,0.0,0,0.0
France,11,30,104,24.721153846153847,2571,24.721153846153847
France; Belgium; Belgium; France; Brazil,1,1,1,27.0,27,27.0
France; Belgium; Indonesia; Netherlands,1,1,2,12.0,24,12.0
France; Brazil,1,1,2,11.5,23,11.5
France; Brazil; Brazil,1,1,1,20.0,20,20.0
France; Brazil; Brazil; Brazil; Brazil,1,2,4,6.25,25,6.25
France; Brazil; Brazil; France,1,1,1,19.0,19,19.0
France; Brazil; France,1,1,1,24.0,24,24.0
